n,k,seed,train_size,model,test_acc,n_test
128,1,1,10000,LR,0.9932,20000
128,1,1,10000,MLP,0.97675,20000
128,1,1,20000,LR,0.99525,20000
128,1,1,20000,MLP,0.979,20000
128,1,1,50000,LR,0.99755,20000
128,1,1,50000,MLP,0.98505,20000
128,1,1,100000,LR,0.99865,20000
128,1,1,200000,LR,0.9995,20000
128,1,2,1000,LR,0.94,20000
128,1,2,1000,MLP,0.9149,20000
128,1,2,2000,LR,0.9726,20000
128,1,2,2000,MLP,0.93595,20000
128,1,2,5000,LR,0.98855,20000
128,1,2,5000,MLP,0.97115,20000
128,1,2,10000,LR,0.99325,20000
128,1,2,10000,MLP,0.97645,20000
128,1,2,20000,LR,0.99555,20000
128,1,2,20000,MLP,0.98175,20000
128,1,2,50000,LR,0.9981,20000
128,1,2,50000,MLP,0.9875,20000
128,1,2,100000,LR,0.99885,20000
128,1,2,200000,LR,0.99945,20000
128,1,3,1000,LR,0.94595,20000
128,1,3,1000,MLP,0.92905,20000
128,1,3,2000,LR,0.9742,20000
128,1,3,2000,MLP,0.9249,20000
128,1,3,5000,LR,0.9888,20000
128,1,3,5000,MLP,0.9679,20000
128,1,3,10000,LR,0.99265,20000
128,1,3,10000,MLP,0.97585,20000
128,1,3,20000,LR,0.99595,20000
128,1,3,20000,MLP,0.9812,20000
128,1,3,50000,LR,0.99825,20000
128,1,3,50000,MLP,0.98665,20000
128,1,3,100000,LR,0.9985,20000
128,1,3,200000,LR,0.9991,20000
128,2,0,1000,LR,0.50665,20000
128,2,0,1000,MLP,0.5084,20000
128,2,0,2000,LR,0.5054,20000
128,2,0,2000,MLP,0.5061,20000
128,2,0,5000,LR,0.5064,20000
128,2,0,5000,MLP,0.50715,20000
128,2,0,10000,LR,0.517,20000
128,2,0,10000,MLP,0.91755,20000
128,2,0,20000,LR,0.5253,20000
128,2,0,20000,MLP,0.93995,20000
128,2,0,50000,LR,0.52735,20000
128,2,0,50000,MLP,0.9805,20000
128,2,0,100000,LR,0.52815,20000
128,2,0,200000,LR,0.5379,20000
128,2,1,1000,LR,0.5027,20000
128,2,1,1000,MLP,0.5011,20000
128,2,1,2000,LR,0.50195,20000
128,2,1,2000,MLP,0.50115,20000
128,2,1,5000,LR,0.5064,20000
128,2,1,5000,MLP,0.50435,20000
128,2,1,10000,LR,0.5086,20000
128,2,1,10000,MLP,0.8863,20000
128,2,1,20000,LR,0.5126,20000
128,2,1,20000,MLP,0.92075,20000
128,2,1,50000,LR,0.52675,20000
128,2,1,50000,MLP,0.98065,20000
128,2,1,100000,LR,0.5412,20000
128,2,1,200000,LR,0.5636,20000
128,2,2,1000,LR,0.51755,20000
128,2,2,1000,MLP,0.52005,20000
128,2,2,2000,LR,0.5231,20000
128,2,2,2000,MLP,0.5243,20000
128,2,2,5000,LR,0.5257,20000
128,2,2,5000,MLP,0.63,20000
128,2,2,10000,LR,0.512,20000
128,2,2,10000,MLP,0.9349,20000
128,2,2,20000,LR,0.50125,20000
128,2,2,20000,MLP,0.9607,20000
128,2,2,50000,LR,0.4832,20000
128,2,2,50000,MLP,0.98245,20000
128,2,2,100000,LR,0.47535,20000
128,2,2,200000,LR,0.46505,20000
128,2,3,1000,LR,0.51585,20000
128,2,3,1000,MLP,0.5155,20000
128,2,3,2000,LR,0.52175,20000
128,2,3,2000,MLP,0.51515,20000
128,2,3,5000,LR,0.5244,20000
128,2,3,5000,MLP,0.5751,20000
128,2,3,10000,LR,0.53185,20000
128,2,3,10000,MLP,0.94005,20000
128,2,3,20000,LR,0.53875,20000
128,2,3,20000,MLP,0.9511,20000
128,2,3,50000,LR,0.54525,20000
128,2,3,50000,MLP,0.9781,20000
128,2,3,100000,LR,0.5485,20000
128,2,3,200000,LR,0.54655,20000
128,3,0,1000,LR,0.5024,20000
128,3,0,1000,MLP,0.50935,20000
128,3,0,2000,LR,0.50795,20000
128,3,0,2000,MLP,0.50855,20000
128,3,0,5000,LR,0.51555,20000
128,3,0,5000,MLP,0.51425,20000
128,3,0,10000,LR,0.52395,20000
128,3,0,10000,MLP,0.5047,20000
128,3,0,20000,LR,0.53095,20000
128,3,0,20000,MLP,0.5207,20000
128,3,0,50000,LR,0.54505,20000
128,3,0,50000,MLP,0.9549,20000
128,3,0,100000,LR,0.5619,20000
128,3,0,200000,LR,0.57185,20000
128,3,1,1000,LR,0.52545,20000
128,3,1,1000,MLP,0.5193,20000
128,3,1,2000,LR,0.52565,20000
128,3,1,2000,MLP,0.52285,20000
128,3,1,5000,LR,0.5253,20000
128,3,1,5000,MLP,0.51195,20000
128,3,1,10000,LR,0.53485,20000
128,3,1,10000,MLP,0.527,20000
128,3,1,20000,LR,0.54,20000
128,3,1,20000,MLP,0.5226,20000
128,3,1,50000,LR,0.5508,20000
128,3,1,50000,MLP,0.96035,20000
128,3,1,100000,LR,0.55655,20000
128,3,1,200000,LR,0.55695,20000
128,3,2,1000,LR,0.5028,20000
128,3,2,1000,MLP,0.49875,20000
128,3,2,2000,LR,0.50295,20000
128,3,2,2000,MLP,0.5027,20000
128,3,2,5000,LR,0.512,20000
128,3,2,5000,MLP,0.50975,20000
128,3,2,10000,LR,0.51545,20000
